,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start.Date,Completion.Date,Last.Update.Posted,Locations,URL,MapCountry,Drugonly,Month,Completion.Year,day_of_week
14,15,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,Recruiting,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,500.0,"May 22, 2020",2020-08-22,"June 24, 2020","Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitario Central Asturias, Oviedo, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital General Universitario de Ciudad Real, Ciudad Real, Spain|Hospital San Pedro Alcántara, Cáceres, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain",https://ClinicalTrials.gov/show/NCT04445272,China,Tocilizumab,8.0,2020,Saturday
15,16,A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection,Recruiting,Biological: anti-SARS-CoV-2 convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,131.0,"May 11, 2020",2023-05-01,"May 13, 2020","Froedtert Hospital, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04354831,United States,,5.0,2023,Monday
16,17,PK and Safety of Remdesivir for Treatment of COVID-19 in Pregnant and Non-Pregnant Women in the US,Not yet recruiting,Drug: Remdesivir,Female,"Child, Adult, Older Adult",,40.0,"October 15, 2020",2022-01-15,"October 9, 2020","USC/Los Angeles County Medical Center NICHD CRS (5048), Los Angeles, California, United States|David Geffen School of Medicine at UCLA (CRS 5112), Los Angeles, California, United States|University California, San Diego (CRS 4601), San Diego, California, United States|Childrens Hospital (U. Colorado, Denver) NICHD CRS (5052), Denver, Colorado, United States|University of Florida (5051), Jacksonville, Florida, United States|Univ of Miami Pediatric/Perinatal HIV/AIDS (4201), Miami, Florida, United States|Emory University School of Medicine (CRS 5030), Atlanta, Georgia, United States|Ann & Robert H Lurie Children's Hospital of Chicago (4001), Chicago, Illinois, United States|Rush University Cook County Hospital NICHD CRS (5083), Chicago, Illinois, United States|Johns Hopkins University NICHD CRS (5092), Baltimore, Maryland, United States|Boston Medical Center Ped. HIV Program NICHD CRS (5011), Boston, Massachusetts, United States|Bronx-Lebanon Hospital Center (CRS 5114), Bronx, New York, United States|Jacobi Med. Ctr. Bronx NICHD CRS (5013), Bronx, New York, United States|Stony Brook University Medical Center (CRS 5040), Stony Brook, New York, United States|St. Jude Childrens Research Hosp, Memphis (6501), Memphis, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|University of Puerto Rico Pediatric HIV/AIDS CRS (6601), San Juan, Puerto Rico",https://ClinicalTrials.gov/show/NCT04582266,Georgia,Remdesivir,1.0,2022,Saturday
17,18,CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,Recruiting,Diagnostic Test: Lung ultrasound,All,"18 Years and older   (Adult, Older Adult)",,180.0,"May 11, 2020",2021-01-20,"December 4, 2020","Derriford Hospital, Plymouth, Devon, United Kingdom",https://ClinicalTrials.gov/show/NCT04351802,United Kingdom,,1.0,2021,Wednesday
18,19,AZD1222 Vaccine for the Prevention of COVID-19,Suspended,Biological: AZD1222,All,"18 Years to 130 Years   (Adult, Older Adult)",Phase 3,100.0,"September 2, 2020",2021-03-12,"November 16, 2020","Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, St. Petersburg, Russian Federation",https://ClinicalTrials.gov/show/NCT04540393,Russian Federation,,3.0,2021,Friday
19,20,Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression,Not yet recruiting,Drug: Tocilizumab|Drug: Methylprednisolone,All,"18 Years and older   (Adult, Older Adult)",Phase 3,310.0,"April 15, 2020",2020-10-31,"April 14, 2020","University Malaya Medical Centre, Kuala Lumpur, Malaysia",https://ClinicalTrials.gov/show/NCT04345445,Malaysia,Tocilizumab|Methylprednisolone,10.0,2020,Saturday
20,21,Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia,Recruiting,Drug: Emtricitabine/tenofovir|Drug: Colchicine Pill|Drug: Rosuvastatin|Other: Standard treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,1200.0,"August 18, 2020",2021-02-28,"September 30, 2020","Clinica santa Maria del lago, Bogota, DC, Colombia|Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia",https://ClinicalTrials.gov/show/NCT04359095,Colombia,Emtricitabine/tenofovir|Colchicine Pill|Rosuvastatin,2.0,2021,Sunday
21,22,Long-term Outcomes in Patients With COVID-19,Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,900.0,"August 10, 2020",2021-08-31,"October 23, 2020","Renji Hospital, Shanghai Jiaotong University School of Medicine, Pudong, Shanghai, China",https://ClinicalTrials.gov/show/NCT04508712,China,,8.0,2021,Tuesday
22,23,Isotretinoin in Treatment of COVID-19,Not yet recruiting,Drug: Isotretinoin Only Product in Oral Dose Form,All,18 Years to 40 Years   (Adult),Phase 3,300.0,"December 1, 2020",2021-12-01,"September 23, 2020",,https://ClinicalTrials.gov/show/NCT04361422,Undefined,Isotretinoin Only Product in Oral Dose Form,12.0,2021,Wednesday
23,24,Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic,Not yet recruiting,Drug: Convalescent Plasma Transfusion|Drug: Hydroxychloroquine|Drug: DAS181|Drug: Ivermectin|Drug: Interferon Beta-1A,All,"1 Year and older   (Child, Adult, Older Adult)",,200.0,"July 25, 2020",2020-09-20,"July 7, 2020",,https://ClinicalTrials.gov/show/NCT04460547,Undefined,Convalescent Plasma Transfusion|Hydroxychloroquine|DAS181|Ivermectin|Interferon Beta-1A,9.0,2020,Sunday
24,25,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",Completed,Other: Exposure,All,"18 Years and older   (Adult, Older Adult)",,115.0,"April 20, 2020",2020-07-16,"August 25, 2020","Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal",https://ClinicalTrials.gov/show/NCT04355741,Portugal,,7.0,2020,Thursday
25,26,Inhaled Nitric Oxide for Preventing Progression in COVID-19,Recruiting,Drug: Nitric Oxide,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,42.0,"May 12, 2020",2021-07-31,"May 18, 2020","Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04388683,United States,Nitric Oxide,7.0,2021,Saturday
26,27,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults",Recruiting,Drug: AZD7442|Drug: Placebo,All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 3,1125.0,"December 2, 2020",2022-01-04,"December 10, 2020","Research Site, Birmingham, Alabama, United States|Research Site, Guntersville, Alabama, United States|Research Site, Montgomery, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Corona, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Huntington Park, California, United States|Research Site, Modesto, California, United States|Research Site, Sacramento, California, United States|Research Site, Coral Springs, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Winter Haven, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Buford, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Honolulu, Hawaii, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Oak Park, Illinois, United States|Research Site, Greenwood, Indiana, United States|Research Site, Ankeny, Iowa, United States|Research Site, Wichita, Kansas, United States|Research Site, Owensboro, Kentucky, United States|Research Site, Bethesda, Maryland, United States|Research Site, Kansas City, Missouri, United States|Research Site, Omaha, Nebraska, United States|Research Site, Fayetteville, North Carolina, United States|Research Site, Wilmington, North Carolina, United States|Research Site, Dakota Dunes, South Dakota, United States|Research Site, Rapid City, South Dakota, United States|Research Site, Arlington, Texas, United States|Research Site, Cypress, Texas, United States|Research Site, Dallas, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Friendswood, Texas, United States|Research Site, Gonzales, Texas, United States|Research Site, Harlingen, Texas, United States|Research Site, McKinney, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Waxahachie, Texas, United States|Research Site, Riverton, Utah, United States|Research Site, Portsmouth, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, Hull, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Southampton, United Kingdom|Research Site, Wakefield, United Kingdom",https://ClinicalTrials.gov/show/NCT04625972,Georgia,AZD7442|Placebo,1.0,2022,Tuesday
27,28,Developement and Evaluation of Serological Assays for COVID-19,Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,500.0,"July 15, 2020",2020-12-01,"August 19, 2020","Laboratory of microbiology of hospital hygiene, Ambroise Paré Hospital, APHP, Boulogne-Billancourt, France",https://ClinicalTrials.gov/show/NCT04377763,France,,12.0,2020,Tuesday
28,29,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,Recruiting,Dietary Supplement: Quercetin Phytosome,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"October 29, 2020",2021-06-28,"October 30, 2020","Liaquat University Hospital, Jāmshoro, Sindh, Pakistan",https://ClinicalTrials.gov/show/NCT04578158,Pakistan,,6.0,2021,Monday
29,30,Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19,Not yet recruiting,Drug: Lactoferrin,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2|Phase 3,150.0,June 2020,2020-11-01,"June 9, 2020",,https://ClinicalTrials.gov/show/NCT04421534,Undefined,Lactoferrin,11.0,2020,Sunday
30,31,A Trial of NT-I7 in COVID-19 (SPESELPIS),Recruiting,Drug: Double-Blind NT-I7|Drug: Double-Blind Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,30.0,August 2020,2021-12-01,"August 6, 2020","Nih/Niaid, Bethesda, Maryland, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States",https://ClinicalTrials.gov/show/NCT04501796,United States,Double-Blind NT-I7|Double-Blind Placebo,12.0,2021,Wednesday
31,32,Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19,Not yet recruiting,Biological: autologous adipose-derived stem cells,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"January 10, 2021",2024-01-10,"November 9, 2020",,https://ClinicalTrials.gov/show/NCT04428801,Undefined,,1.0,2024,Wednesday
32,33,COVID-19 Symptom Tracker,Recruiting,Other: No Intervention,All,"18 Years and older   (Adult, Older Adult)",,10000000.0,"March 23, 2020",2022-03-23,"April 7, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04331509,United Kingdom,,3.0,2022,Wednesday
33,34,Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,Recruiting,Device: olfactory device,All,"18 Years and older   (Adult, Older Adult)",,250.0,"June 15, 2020",2020-10-01,"August 4, 2020","Yale New Haven Hospital, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04431908,United States,,10.0,2020,Thursday
34,35,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),Completed,Diagnostic Test: ELISA|Diagnostic Test: RT-PCR,All,"18 Years and older   (Adult, Older Adult)",,340.0,"June 8, 2020",2020-08-25,"September 14, 2020","Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States",https://ClinicalTrials.gov/show/NCT04466644,United States,,8.0,2020,Tuesday
35,36,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,Not yet recruiting,Device: Hyperbaric Oxygen Therapy,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,48.0,April 2020,2020-06-01,"April 13, 2020","Ochsner Medical Center, New Orleans, Louisiana, United States",https://ClinicalTrials.gov/show/NCT04343183,United States,,6.0,2020,Monday
36,37,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Pre-exposure Prophylaxis of COVID-19 in Adult.",Recruiting,Drug: AZD7442|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,5000.0,"November 21, 2020",2022-02-03,"December 10, 2020","Research Site, Birmingham, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Cerritos, California, United States|Research Site, Chula Vista, California, United States|Research Site, Fountain Valley, California, United States|Research Site, Fresno, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Lancaster, California, United States|Research Site, Modesto, California, United States|Research Site, Victorville, California, United States|Research Site, Aurora, Colorado, United States|Research Site, Hartford, Connecticut, United States|Research Site, Middlebury, Connecticut, United States|Research Site, Norwich, Connecticut, United States|Research Site, Clearwater, Florida, United States|Research Site, Coral Springs, Florida, United States|Research Site, Hollywood, Florida, United States|Research Site, Lauderdale Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Orlando, Florida, United States|Research Site, Ormond Beach, Florida, United States|Research Site, Pensacola, Florida, United States|Research Site, Wesley Chapel, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Columbus, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Quincy, Illinois, United States|Research Site, Evansville, Indiana, United States|Research Site, Noblesville, Indiana, United States|Research Site, Wichita, Kansas, United States|Research Site, Wichita, Kansas, United States|Research Site, Minneapolis, Minnesota, United States|Research Site, Kansas City, Missouri, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Omaha, Nebraska, United States|Research Site, Henderson, Nevada, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Albuquerque, New Mexico, United States|Research Site, Bronx, New York, United States|Research Site, Jamaica, New York, United States|Research Site, Ridgewood, New York, United States|Research Site, Greensboro, North Carolina, United States|Research Site, Raleigh, North Carolina, United States|Research Site, Columbus, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Summerville, South Carolina, United States|Research Site, Rapid City, South Dakota, United States|Research Site, Austin, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Lewisville, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Sugar Land, Texas, United States|Research Site, The Woodlands, Texas, United States|Research Site, Layton, Utah, United States|Research Site, Alexandria, Virginia, United States|Research Site, Chesapeake, Virginia, United States|Research Site, Richmond, Virginia, United States|Research Site, Milwaukee, Wisconsin, United States|Research Site, Alken, Belgium|Research Site, Bruxelles, Belgium|Research Site, Gozée, Belgium|Research Site, Namur, Belgium|Research Site, Wetteren, Belgium|Research Site, Clermont-Ferrand cedex, France|Research Site, Dijon cedex, France|Research Site, La Roche S/ Yon Cedex 9, France|Research Site, Lille, France|Research Site, Limoges cedex, France|Research Site, Nantes Cedex 1, France|Research Site, Nimes, France|Research Site, Paris cedex 10, France|Research Site, Paris cedex 14, France|Research Site, Saint Etienne Cedex 2, France|Research Site, Tours cedex 9, France|Research Site, Alcobendas, Spain|Research Site, Barcelona, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Marbella (Málaga), Spain|Research Site, Pozuelo de Alarcón, Spain|Research Site, Enfield, United Kingdom|Research Site, Hayle, United Kingdom|Research Site, London, United Kingdom|Research Site, Preston, United Kingdom|Research Site, Rochdale, United Kingdom|Research Site, Southampton, United Kingdom|Research Site, Torpoint, United Kingdom|Research Site, Wakefield, United Kingdom",https://ClinicalTrials.gov/show/NCT04625725,Belgium,AZD7442|Placebo,2.0,2022,Thursday
37,38,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,Recruiting,Drug: Clevudine|Drug: Placebo,All,"19 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 6, 2020",2020-12-31,"June 30, 2020","Korea University Guro Hospital, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04347915,"Korea, Republic of",Clevudine|Placebo,12.0,2020,Thursday
38,39,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,Recruiting,Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,3170.0,"April 3, 2020",2021-03-30,"April 9, 2020","Charing Cross Hospital, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04333407,United Kingdom,Aspirin 75mg|Clopidogrel 75mg|Rivaroxaban 2.5 MG|Atorvastatin 40mg|Omeprazole 20mg,3.0,2021,Tuesday
39,40,Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1),Recruiting,Drug: Aprepitant injectable emulsion|Drug: Saline Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"July 20, 2020",2021-03-01,"November 12, 2020","Helen Keller Hospital, Sheffield, Alabama, United States|University of California, Irvine Medical Center, Orange, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Stony Brook University Hospital, Stony Brook, New York, United States|Memorial Hermann - Memorial City Medical Center, Houston, Texas, United States|Ponce Medical School Foundation, Ponce, Puerto Rico",https://ClinicalTrials.gov/show/NCT04470622,Puerto Rico,Aprepitant injectable emulsion|Saline Placebo,3.0,2021,Monday
