,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start Date,Completion Date,Locations,URL
15,15,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults",Recruiting,Drug: AZD7442|Drug: Placebo,All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 3,1125.0,"December 2, 2020","January 4, 2022",Georgia,https://ClinicalTrials.gov/show/NCT04625972
16,16,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,Recruiting,Dietary Supplement: Quercetin Phytosome,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"October 29, 2020","June 28, 2021",Pakistan,https://ClinicalTrials.gov/show/NCT04578158
17,17,A Trial of NT-I7 in COVID-19 (SPESELPIS),Recruiting,Drug: Double-Blind NT-I7|Drug: Double-Blind Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,30.0,August 2020,December 2021,United States,https://ClinicalTrials.gov/show/NCT04501796
18,18,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,Not yet recruiting,Device: Hyperbaric Oxygen Therapy,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,48.0,April 2020,June 2020,United States,https://ClinicalTrials.gov/show/NCT04343183
19,19,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Pre-exposure Prophylaxis of COVID-19 in Adult.",Recruiting,Drug: AZD7442|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,5000.0,"November 21, 2020","February 3, 2022",Belgium,https://ClinicalTrials.gov/show/NCT04625725
20,20,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,Recruiting,Drug: Clevudine|Drug: Placebo,All,"19 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 6, 2020","December 31, 2020","Korea, Republic of",https://ClinicalTrials.gov/show/NCT04347915
21,21,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,Recruiting,Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,3170.0,"April 3, 2020","March 30, 2021",United Kingdom,https://ClinicalTrials.gov/show/NCT04333407
22,22,Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1),Recruiting,Drug: Aprepitant injectable emulsion|Drug: Saline Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"July 20, 2020",March 2021,Puerto Rico,https://ClinicalTrials.gov/show/NCT04470622
23,23,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,Not yet recruiting,Drug: VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),All,"18 Years and older   (Adult, Older Adult)",Phase 2,20.0,"August 15, 2020","February 1, 2021",United States,https://ClinicalTrials.gov/show/NCT04452669
24,24,Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),Recruiting,Drug: Enoxaparin sodium|Drug: Unfractionated heparin|Drug: Fondapariniux|Drug: Argatroban,All,"18 Years and older   (Adult, Older Adult)",Phase 4,186.0,"October 13, 2020",June 2021,United States,https://ClinicalTrials.gov/show/NCT04406389
25,25,COVID-19 Convalescent Plasma (CCP) Transfusion,Recruiting,Biological: COVID Convalescent Plasma,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,100.0,"June 1, 2020","May 31, 2022",United States,https://ClinicalTrials.gov/show/NCT04412486
26,26,A Clinical Trial of a Recombinant Adenovirus 5 Vectored COVID-19 Vaccine (Ad5-nCoV) With Two Doses in Healthy Adults,"Active, not recruiting",Biological: Ad5-nCoV,All,"18 Years and older   (Adult, Older Adult)",Phase 1,149.0,"September 29, 2020","June 30, 2021",China,https://ClinicalTrials.gov/show/NCT04552366
27,27,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,Recruiting,Device: oxyhydrogen|Device: Oxygen,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,100.0,"February 15, 2020","August 1, 2020",China,https://ClinicalTrials.gov/show/NCT04336462
28,28,Pegylated Interferon Lambda for Treatment of COVID-19 Infection,Recruiting,Drug: Lambda 180 mcg S.C,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40.0,"August 5, 2020","December 31, 2021",Israel,https://ClinicalTrials.gov/show/NCT04534673
29,29,ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19,Recruiting,Drug: ABX464|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,1034.0,"May 1, 2020","April 30, 2021",Belgium,https://ClinicalTrials.gov/show/NCT04393038
30,30,Safety and Efficacy of Melatonin in Outpatients Infected With COVID-19,Recruiting,Drug: Melatonin|Other: Placebo (Methylcellulose) capsule,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30.0,"November 6, 2020","March 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04474483
31,31,The Role of Resistant Starch in COVID-19 Infection,Recruiting,Drug: Dietary Supplement containing resistant starch|Dietary Supplement: Placebo Starch,All,"19 Years and older   (Adult, Older Adult)",Phase 3,1500.0,"June 3, 2020","June 1, 2021",United States,https://ClinicalTrials.gov/show/NCT04342689
32,32,Low-dose Tocilizumab Versus Standard of Care in Hospitalized Patients With COVID-19,Recruiting,Drug: Tocilizumab|Other: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,332.0,"September 10, 2020","March 1, 2021",United States,https://ClinicalTrials.gov/show/NCT04479358
33,33,Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia,Recruiting,Drug: FT516,All,"18 Years to 76 Years   (Adult, Older Adult)",Phase 1,12.0,"May 14, 2020",January 2022,United States,https://ClinicalTrials.gov/show/NCT04363346
34,34,C5a Receptor Expression - COVID-19 (C5-COV),Recruiting,Other: draw blood,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,"March 31, 2020",November 2020,France,https://ClinicalTrials.gov/show/NCT04369820
35,35,TXA127 for the Treatment of Severe COVID-19,Recruiting,Drug: TXA127|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,August 2020,December 2021,United States,https://ClinicalTrials.gov/show/NCT04401423
36,36,Genosvid Diagnostic Test for Early Detection of COVID-19,Recruiting,Other: exhaled breath sampling,All,"4 Years and older   (Child, Adult, Older Adult)",Not Applicable,1543.0,"April 1, 2020","December 31, 2020",Indonesia,https://ClinicalTrials.gov/show/NCT04558372
37,37,Safety and Efficacy of Anti-SARS-CoV-2 Equine Antibody Fragments (INOSARS) for Hospitalized Patients With COVID-19,Not yet recruiting,Drug: Placebo|Drug: Anti-SARS-CoV-2 equine immunoglobulin fragments (INOSARS),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,51.0,"October 20, 2020","June 20, 2021",Mexico,https://ClinicalTrials.gov/show/NCT04514302
38,38,Colchicine Plus Phenolic Monoterpenes to Treat COVID-19,Recruiting,Drug: Standard Treatment|Drug: Oral administration of Colchicine plus Herbal Phenolic Monoterpene Fractions,All,"10 Years and older   (Child, Adult, Older Adult)",Phase 1|Phase 2,200.0,"April 1, 2020","November 1, 2020","Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04392141
39,39,Vitamin D Supplementation in Patients With COVID-19,Completed,Dietary Supplement: Vitamin D|Dietary Supplement: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,240.0,"June 1, 2020","October 7, 2020",Brazil,https://ClinicalTrials.gov/show/NCT04449718
40,40,DAS181 for Severe COVID-19: Compassionate Use,Completed,Drug: DAS181,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,4.0,"March 6, 2020","April 30, 2020",China,https://ClinicalTrials.gov/show/NCT04324489
41,41,Multi-site Adaptive Trials for COVID-19,Completed,Drug: SOC + Intravenous Famotidine|Drug: SOC + Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,233.0,"April 7, 2020","September 7, 2020",United States,https://ClinicalTrials.gov/show/NCT04370262
42,42,PERUCONPLASMA: Evaluating the Use of Convalescent Plasma as Management of COVID-19,Not yet recruiting,Biological: Convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"August 20, 2020","December 31, 2020",Peru,https://ClinicalTrials.gov/show/NCT04497324
43,43,Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19,Recruiting,Dietary Supplement: Oral supplement enriched in antioxidants|Dietary Supplement: cellulose-containing placebo capsules,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2|Phase 3,40.0,"September 1, 2020","December 30, 2020",Saudi Arabia,https://ClinicalTrials.gov/show/NCT04323228
44,44,Exchange Transfusion Versus Plasma From Convalescent Patients With Methylene Blue in Patients With COVID-19,Recruiting,Biological: exchange blood transfusion from normal donor|Biological: plasma from convalescent patients with COVID-19|Drug: Methylene Blue 5 MG/ML,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,15.0,"May 20, 2020","September 1, 2020",Egypt,https://ClinicalTrials.gov/show/NCT04376788
45,45,Efficacy and Safety of High-dose Vitamin C Combined With Chinese Medicine Against Coronavirus Pneumonia (COVID-19),"Active, not recruiting","Drug: Alpha-interferon alpha, abidol, ribavirin, Buzhong Yiqi plus and minus formula, Huhuang Detoxicity Paste, Baimu Qingre Jiedu Paste, fumigation/inhalation of vitamin C|Drug: Alpha-interferon, abidol, ribavirin, Buzhong Yiqi plus and minus formula, Huhuang Detoxicity Paste, Baimu Qingre Jiedu Paste and 5% glucose|Drug: Alpha-interferon, abidol, ribavirin, Buzhong Yiqi plus and minus formula, Huhuang Detoxicity Paste, Baimu Qingre Jiedu Paste and high-dose vitamin C treatment",All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,60.0,"February 6, 2020","January 31, 2021",China,https://ClinicalTrials.gov/show/NCT04664010
46,46,Minimal Invasive Autopsies to Investigate Changes in Deceased COVID-19 Patients,Recruiting,Procedure: CT-scan with minimal invasive autopsy,All,"Child, Adult, Older Adult",Not Applicable,45.0,"April 14, 2020",December 2020,Belgium,https://ClinicalTrials.gov/show/NCT04366882
47,47,Study of Open Label Losartan in COVID-19,Completed,Drug: Losartan,All,"18 Years and older   (Adult, Older Adult)",Phase 1,34.0,"April 4, 2020","August 17, 2020",United States,https://ClinicalTrials.gov/show/NCT04335123
48,48,An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,"Active, not recruiting",Drug: Favipiravir|Drug: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,330.0,"April 23, 2020",July 2020,Russian Federation,https://ClinicalTrials.gov/show/NCT04434248
49,49,Dapagliflozin in Respiratory Failure in Patients With COVID-19,Recruiting,Drug: Dapagliflozin 10 MG|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,900.0,"April 22, 2020",December 2020,Brazil,https://ClinicalTrials.gov/show/NCT04350593
50,50,Efficacy of Convalescent Plasma Therapy in the Early Care of COVID-19 Patients.,Recruiting,Drug: Transfusion of SARS-CoV-2 Convalescent Plasma.|Drug: Transfusion of standard Plasma.,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,80.0,"September 14, 2020",June 2021,France,https://ClinicalTrials.gov/show/NCT04372979
51,51,Convalescent Plasma as Treatment for Subjects With Early COVID-19 Infection,Recruiting,Biological: Convalescent Plasma|Other: Best Supportive Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,306.0,"November 6, 2020",November 2021,Jersey,https://ClinicalTrials.gov/show/NCT04456413
52,52,Study of CPI-006 as Immunotherapy for Hospitalized COVID-19 Patients,Recruiting,Drug: CPI-006|Other: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 1,60.0,"July 1, 2020","August 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04464395
53,53,Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection,"Active, not recruiting",Biological: Convalescent Plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,52.0,"April 9, 2020",April 2021,Jersey,https://ClinicalTrials.gov/show/NCT04343755
54,54,"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult Patients With COVID-19",Recruiting,Drug: REGN10933+REGN10987 combination therapy|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,2104.0,"June 16, 2020","December 19, 2020",Georgia,https://ClinicalTrials.gov/show/NCT04425629
55,55,Hyperimmune Plasma for Critical Patients With COVID-19,Completed,Other: hyperimmune plasma,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,49.0,"March 17, 2020","May 7, 2020",Italy,https://ClinicalTrials.gov/show/NCT04321421
56,56,An Open Non-comparative Study of the Efficacy and Safety of Aprotinin in Patients Hospitalized With COVID-19,"Active, not recruiting",Drug: Aprotinin,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,30.0,"June 11, 2020","August 31, 2020",Russian Federation,https://ClinicalTrials.gov/show/NCT04527133
57,57,"Study of the Efficacy and Safety of Intravenous Pamrevlumab, in Hospitalized Patients With Acute COVID-19 Disease",Recruiting,Drug: Pamrevlumab|Drug: Placebo,All,"40 Years to 85 Years   (Adult, Older Adult)",Phase 2,130.0,"June 20, 2020",January 2021,United States,https://ClinicalTrials.gov/show/NCT04432298
58,58,Ivermectin for Severe COVID-19 Management,Completed,Drug: Ivermectin,All,"18 Years and older   (Adult, Older Adult)",Phase 3,60.0,"May 11, 2020","September 2, 2020",Turkey,https://ClinicalTrials.gov/show/NCT04646109
59,59,ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease,Terminated,Drug: Hydroxychloroquine,All,"18 Years and older   (Adult, Older Adult)",Phase 3,148.0,"April 13, 2020","July 20, 2020",Canada,https://ClinicalTrials.gov/show/NCT04329611
60,60,Efficacy of Probiotics in Reducing Duration and Symptoms of COVID-19,Not yet recruiting,Dietary Supplement: Probiotics (2 strains 10x10^9 UFC)|Dietary Supplement: Placebo (potato starch and magnesium stearate),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,84.0,"November 16, 2020",March 2021,Canada,https://ClinicalTrials.gov/show/NCT04621071
61,61,Treatment of Patients With COVID-19 With Convalescent Plasma,Recruiting,Biological: convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,120.0,"June 1, 2020","May 22, 2022",Brazil,https://ClinicalTrials.gov/show/NCT04415086
62,62,Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients,Recruiting,Drug: Baricitinib (janus kinase inhibitor),All,"18 Years and older   (Adult, Older Adult)",Phase 2,800.0,"April 17, 2020",March 2022,Canada,https://ClinicalTrials.gov/show/NCT04321993
63,63,"Safety and Immunogenicity of COVI-VAC, a Live Attenuated Vaccine Against COVID-19",Not yet recruiting,Biological: COVI-VAC|Other: Placebo,All,18 Years to 30 Years   (Adult),Phase 1,48.0,December 2020,May 2022,United Kingdom,https://ClinicalTrials.gov/show/NCT04619628
64,64,Proof of Concept Study to Evaluate the Safety Profile of Plitidepsin in Patients With COVID-19,"Active, not recruiting",Drug: Plitidepsin 1.5 mg/day|Drug: Plitidepsin 2.0 mg/day|Drug: Plitidepsin 2.5 mg/day,All,"18 Years and older   (Adult, Older Adult)",Phase 1,46.0,"May 12, 2020",November 2020,Spain,https://ClinicalTrials.gov/show/NCT04382066
65,65,Traditional Chinese Medicine for Severe COVID-19,Not yet recruiting,Drug: Traditional Chinese Medicine Prescription,All,"up to 85 Years   (Child, Adult, Older Adult)",Phase 3,50.0,March 2020,April 2020,China,https://ClinicalTrials.gov/show/NCT04323332
66,66,Safety and Immunogenicity Trial of Multi-peptide Vaccination to Prevent COVID-19 Infection in Adults,Recruiting,Biological: multipeptide cocktail,All,"18 Years and older   (Adult, Older Adult)",Phase 1,36.0,"November 27, 2020","December 20, 2021",Germany,https://ClinicalTrials.gov/show/NCT04546841
67,67,Cohort of Patients Infected With SARS-CoV2 (COVID-19) or Suspected of Being,Recruiting,Other: blood samples|Other: feces samples (COVI-BIOME ancillary study)|Other: sweat samples (COVIDOG ancillary study),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2000.0,"March 31, 2020","March 31, 2022",France,https://ClinicalTrials.gov/show/NCT04352348
68,68,Convalescent Plasma as Treatment for Acute Coronavirus Disease (COVID-19),"Active, not recruiting",Biological: SARS-CoV-2 convalescent plasma,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,10.0,"April 10, 2020",December 2020,Sweden,https://ClinicalTrials.gov/show/NCT04390178
69,69,COVID-19 Ozanimod Intervention Study,Recruiting,Drug: Ozanimod|Other: Standard of care,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,48.0,"September 16, 2020","January 1, 2024",Canada,https://ClinicalTrials.gov/show/NCT04405102
70,70,Convalescent Plasma for Treating Patients With COVID-19 Pneumonia Without Indication of Ventilatory Support,Recruiting,Biological: Convalescent plasma,All,"Child, Adult, Older Adult",Phase 2,60.0,"August 18, 2020","December 31, 2020",Brazil,https://ClinicalTrials.gov/show/NCT04528368
71,71,Dual Therapy With Interferon Beta-1b and Clofazimine for COVID-19,Recruiting,Drug: Interferon beta-1b|Drug: Clofazimine,All,"18 Years and older   (Adult, Older Adult)",Phase 2,81.0,"July 14, 2020","September 30, 2021",China,https://ClinicalTrials.gov/show/NCT04465695
72,72,Clinical Research of Human Mesenchymal Stem Cells in the Treatment of COVID-19 Pneumonia,Recruiting,Biological: UC-MSCs|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,30.0,"February 1, 2020","June 30, 2020",China,https://ClinicalTrials.gov/show/NCT04339660
73,73,Efficacy of Pragmatic Same-day COVID-19 Ring Prophylaxis for Adult Individuals Exposed to SARS-CoV-2 in Switzerland,Recruiting,Drug: Lopinavir/ritonavir,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 3,300.0,"April 23, 2020",March 2021,Switzerland,https://ClinicalTrials.gov/show/NCT04364022
74,74,Study of COVID-19 DNA Vaccine (AG0302-COVID19),"Active, not recruiting",Biological: AG0302-COVID19,All,"20 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,30.0,"August 31, 2020","September 30, 2021",Japan,https://ClinicalTrials.gov/show/NCT04527081
75,75,Colchicine in COVID-19: a Pilot Study,Recruiting,Drug: Colchicine 1 MG Oral Tablet,All,"18 Years and older   (Adult, Older Adult)",Phase 2,308.0,"April 18, 2020","October 31, 2021",Italy,https://ClinicalTrials.gov/show/NCT04375202
76,76,Study of COVID-19 DNA Vaccine (AG0301-COVID19),"Active, not recruiting",Biological: AG0301-COVID19,All,"20 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,30.0,"June 29, 2020","July 31, 2021",Japan,https://ClinicalTrials.gov/show/NCT04463472
77,77,Safety and Efficacy of Tofacitinib in Hospitalized Participants With COVID-19 Pneumonia Who Are Receiving Standard of Care Therapy,Withdrawn,Drug: Tofacitinib|Other: Placebo,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 2,0.0,"July 6, 2020","October 18, 2020",United States,https://ClinicalTrials.gov/show/NCT04412252
78,78,Co-infection Management in COVID-19 Critically Ill,Completed,Diagnostic Test: FilmArray Pneumonia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,32.0,"March 23, 2020","April 24, 2020",Belgium,https://ClinicalTrials.gov/show/NCT04382092
79,79,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,Withdrawn,Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2),All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,0.0,February 2020,April 2020,China,https://ClinicalTrials.gov/show/NCT04287686
80,80,Favipiravir Therapy in Adults With Mild COVID-19,Recruiting,Drug: Favipiravir|Drug: Placebo,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2|Phase 3,576.0,"July 23, 2020",June 2021,Saudi Arabia,https://ClinicalTrials.gov/show/NCT04464408
81,81,Home Care for Patients With COVID-19: Active Monitoring in Two Italian Health Units (Casale Monferrato and Torino),Terminated,Other: home care monitoring,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,37.0,"April 21, 2020","June 30, 2020",Italy,https://ClinicalTrials.gov/show/NCT04361916
82,82,Predictive Immune Biomarkers for COVID-19 Pathogenesis,Recruiting,Biological: Blood collection on admission and longitudinally|Biological: Blood collection on their first consultation and 10 to 14 days later,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,170.0,"March 4, 2020","December 31, 2021",France,https://ClinicalTrials.gov/show/NCT04385108
83,83,Study to Evaluate the Safety and Efficacy of Prolastin in Hospitalized Subjects With COVID-19,Recruiting,Biological: Prolastin|Drug: Standard Medical Treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"July 29, 2020",April 2021,Spain,https://ClinicalTrials.gov/show/NCT04495101
84,84,COVID-19 Plasma Collection,Recruiting,Other: Plasma Donation,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2000.0,"April 13, 2020","April 12, 2021",United States,https://ClinicalTrials.gov/show/NCT04344015
85,85,"Randomized, Controlled Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",Recruiting,Drug: SOC + IFX-1|Drug: SOC + Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,390.0,"March 31, 2020","August 31, 2021",Germany,https://ClinicalTrials.gov/show/NCT04333420
86,86,DAS181 for STOP COVID-19,Withdrawn,Drug: DAS181|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,0.0,"July 25, 2020","November 30, 2020",Italy,https://ClinicalTrials.gov/show/NCT04354389
87,87,Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,Not yet recruiting,Drug: Clazakizumab|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30.0,May 2020,"August 1, 2020",United States,https://ClinicalTrials.gov/show/NCT04381052
88,88,Therapeutic Plasmapheresis in Critically Ill Adult Patients With COVID-19 Confirmed Diagnosis,Not yet recruiting,Biological: Convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,44.0,"August 1, 2020",August 2022,Colombia,https://ClinicalTrials.gov/show/NCT04480632
